Gender,Track,ParentalEducation,MathScore,ReadingScore,WritingScore
Female,Track C,Bachelor's Degree,99,92,64
Female,Track A,Bachelor's Degree,75,76,91
Male,Track B,Associate's Degree,93,59,97
Male,Track C,High School,97,77,50
Male,Track C,Bachelor's Degree,88,58,56
Female,Track C,High School,74,78,72
Male,Track A,High School,64,92,98
Male,Track A,Associate's Degree,96,62,80
Male,Track A,Associate's Degree,87,60,79
Female,Track C,Associate's Degree,89,58,88
Male,Track C,Associate's Degree,83,90,70
Female,Track B,Associate's Degree,97,54,52
Female,Track C,High School,73,76,56
Male,Track A,Associate's Degree,63,92,94
Male,Track B,Bachelor's Degree,53,59,55
Female,Track B,High School,56,67,66
Male,Track B,High School,61,71,77
Male,Track B,High School,61,61,65
Male,Track C,Bachelor's Degree,67,56,94
Male,Track B,High School,87,84,88
Female,Track C,Associate's Degree,86,87,61
Male,Track A,Bachelor's Degree,81,97,69
Female,Track C,High School,63,78,88
Female,Track C,High School,58,60,86
Female,Track A,Bachelor's Degree,66,73,88
Female,Track B,High School,81,68,73
Female,Track B,Associate's Degree,98,90,65
Female,Track C,Associate's Degree,67,78,76
Male,Track B,Bachelor's Degree,92,97,50
Female,Track A,Associate's Degree,84,53,72
Male,Track B,Bachelor's Degree,81,57,92
Female,Track B,High School,71,63,78
Male,Track A,Associate's Degree,66,63,65
Male,Track B,Associate's Degree,62,90,60
Male,Track C,Bachelor's Degree,74,90,93
Female,Track A,High School,63,85,83
Female,Track B,High School,69,90,65
Female,Track A,Associate's Degree,77,96,87
Female,Track A,High School,72,65,66
Male,Track A,Associate's Degree,97,78,58
Female,Track C,Associate's Degree,59,68,69
Female,Track C,Associate's Degree,81,73,87
Male,Track A,Associate's Degree,84,66,72
Female,Track A,Bachelor's Degree,72,56,87
Male,Track A,Bachelor's Degree,57,95,91
Male,Track A,Bachelor's Degree,76,84,75
Female,Track A,Bachelor's Degree,96,50,51
Male,Track C,Bachelor's Degree,86,56,85
Female,Track A,Associate's Degree,90,63,86
Female,Track A,High School,75,67,79
Male,Track A,Bachelor's Degree,94,90,76
Female,Track C,Bachelor's Degree,83,94,63
Male,Track C,Associate's Degree,92,54,72
Female,Track A,Associate's Degree,63,96,77
Male,Track A,Associate's Degree,92,54,53
Male,Track B,High School,55,84,96
Male,Track A,Bachelor's Degree,69,60,76
Female,Track B,High School,85,57,51
Female,Track C,Bachelor's Degree,50,92,76
Female,Track A,Bachelor's Degree,81,69,62
Male,Track C,Associate's Degree,63,91,80
Female,Track A,Bachelor's Degree,80,80,75
Female,Track A,Associate's Degree,82,92,82
Female,Track C,Bachelor's Degree,55,62,78
Male,Track A,Bachelor's Degree,73,61,95
Male,Track A,Bachelor's Degree,50,79,73
Male,Track C,High School,76,57,93
Female,Track A,Associate's Degree,69,52,71
Female,Track A,Bachelor's Degree,64,89,63
Male,Track A,Associate's Degree,85,64,90
Female,Track B,Bachelor's Degree,92,69,88
Female,Track C,Associate's Degree,62,87,61
Male,Track B,Associate's Degree,56,93,95
Female,Track C,Associate's Degree,65,95,80
Female,Track B,Bachelor's Degree,62,98,79
Female,Track A,High School,87,66,87
Male,Track C,Bachelor's Degree,81,92,83
Female,Track B,Bachelor's Degree,84,74,83
Male,Track B,Bachelor's Degree,87,85,56
Male,Track B,High School,59,52,88
Female,Track A,Associate's Degree,53,52,55
Female,Track B,Associate's Degree,68,65,98
Female,Track A,Bachelor's Degree,56,87,96
Female,Track C,High School,75,69,91
Female,Track A,Bachelor's Degree,62,99,87
Female,Track A,High School,61,79,59
Female,Track C,Bachelor's Degree,84,65,87
Male,Track C,Associate's Degree,70,98,92
Male,Track A,Bachelor's Degree,62,53,62
Male,Track A,Associate's Degree,66,64,72
Male,Track C,High School,58,93,68
Female,Track C,High School,97,60,59
Male,Track B,Bachelor's Degree,79,65,58
Male,Track B,Bachelor's Degree,68,57,89
Female,Track C,Associate's Degree,72,84,94
Female,Track B,Associate's Degree,54,55,91
Male,Track B,Bachelor's Degree,84,87,61
Male,Track A,High School,99,61,52
Male,Track B,Associate's Degree,51,78,55
Female,Track C,Associate's Degree,62,69,81
Female,Track C,Associate's Degree,61,98,92
Female,Track A,Bachelor's Degree,76,95,99
Female,Track C,Bachelor's Degree,71,53,87
Male,Track A,Associate's Degree,79,90,86
Male,Track B,Bachelor's Degree,70,73,69
Female,Track C,Bachelor's Degree,81,89,74
Female,Track B,Bachelor's Degree,61,50,50
Male,Track C,Associate's Degree,50,68,93
Male,Track B,Associate's Degree,93,61,98
Female,Track C,Associate's Degree,79,79,89
Male,Track A,Bachelor's Degree,98,68,67
Female,Track C,Bachelor's Degree,66,86,80
Male,Track A,Bachelor's Degree,84,70,50
Female,Track B,Bachelor's Degree,50,80,90
Male,Track A,Associate's Degree,50,94,85
Female,Track A,High School,72,67,99
Male,Track B,High School,99,98,88
Male,Track B,Bachelor's Degree,81,60,83
Female,Track B,High School,57,52,73
Male,Track B,Bachelor's Degree,71,87,75
Female,Track A,Bachelor's Degree,83,99,89
Female,Track A,High School,57,92,64
Male,Track A,Bachelor's Degree,97,90,81
Male,Track A,Bachelor's Degree,64,51,96
Female,Track A,Bachelor's Degree,66,84,99
Male,Track C,Associate's Degree,61,76,50
Male,Track C,Associate's Degree,91,81,52
Female,Track B,High School,85,88,97
Female,Track A,Associate's Degree,88,79,81
Female,Track B,Bachelor's Degree,63,54,74
Female,Track B,High School,51,70,67
Male,Track C,Associate's Degree,61,90,75
Female,Track A,Bachelor's Degree,90,61,86
Female,Track C,Bachelor's Degree,52,54,85
Male,Track C,High School,99,90,51
Male,Track C,Bachelor's Degree,71,59,95
Female,Track B,High School,60,93,94
Male,Track A,Associate's Degree,99,92,62
Male,Track C,Bachelor's Degree,77,54,60
Female,Track B,Bachelor's Degree,99,65,83
Male,Track C,Associate's Degree,73,64,59
Male,Track A,Associate's Degree,99,92,79
Female,Track A,Associate's Degree,92,51,76
Male,Track A,Associate's Degree,67,64,94
Female,Track C,High School,82,79,82
Female,Track A,High School,76,70,61
Male,Track B,High School,57,69,56
Male,Track C,Bachelor's Degree,77,98,93
Male,Track A,Bachelor's Degree,78,64,62
Female,Track A,Associate's Degree,55,63,65
Male,Track A,Bachelor's Degree,64,96,70
Male,Track C,Associate's Degree,76,58,92
Female,Track A,High School,56,93,53
Female,Track B,High School,59,68,53
Male,Track C,Associate's Degree,88,60,93
Male,Track B,Bachelor's Degree,96,52,61
Female,Track A,Bachelor's Degree,94,59,57
Female,Track C,Associate's Degree,83,65,81
Male,Track B,Associate's Degree,99,81,90
Male,Track C,Bachelor's Degree,89,92,80
Female,Track B,Bachelor's Degree,72,96,85
Male,Track A,Associate's Degree,76,82,57
Female,Track B,Bachelor's Degree,83,69,91
Female,Track A,Associate's Degree,84,80,53
Female,Track C,Associate's Degree,58,85,87
Male,Track B,Associate's Degree,91,71,65
Male,Track B,High School,58,87,52
Male,Track A,High School,71,79,99
Male,Track A,Bachelor's Degree,89,92,78
Male,Track B,High School,64,68,75
Female,Track A,Associate's Degree,81,93,53
Female,Track C,Associate's Degree,94,97,99
Male,Track C,Bachelor's Degree,52,94,84
Male,Track C,Associate's Degree,76,75,92
Female,Track A,Associate's Degree,81,80,67
Male,Track C,High School,82,52,52
Female,Track B,High School,67,74,87
Male,Track B,High School,98,86,58
Male,Track C,Bachelor's Degree,82,50,79
Male,Track C,High School,59,76,71
Male,Track A,Associate's Degree,67,85,92
Female,Track C,High School,66,93,70
Male,Track C,High School,88,78,85
Female,Track B,Associate's Degree,78,54,91
Male,Track B,High School,50,79,60
Male,Track C,Bachelor's Degree,55,57,83
Male,Track B,Bachelor's Degree,68,98,94
Female,Track B,High School,71,67,91
Female,Track B,Associate's Degree,53,69,68
Male,Track A,High School,74,69,78
Female,Track A,High School,82,62,86
Female,Track C,Bachelor's Degree,74,81,78
Male,Track C,Associate's Degree,60,98,74
Male,Track A,Bachelor's Degree,56,70,95
Female,Track B,High School,69,89,72
Female,Track C,Bachelor's Degree,86,73,60
Male,Track B,Bachelor's Degree,76,69,78
Female,Track B,High School,85,64,92
Male,Track C,Bachelor's Degree,73,53,67
Male,Track A,Bachelor's Degree,92,96,96
Female,Track B,Bachelor's Degree,92,81,87
Female,Track A,Associate's Degree,83,50,89
Female,Track A,High School,55,72,76
Male,Track C,Associate's Degree,92,98,62
Female,Track A,Bachelor's Degree,51,92,77
Female,Track B,Associate's Degree,79,88,71
Female,Track B,Bachelor's Degree,54,63,92
Female,Track A,Bachelor's Degree,90,69,80
Male,Track B,High School,50,58,91
Male,Track A,Associate's Degree,97,58,61
Male,Track A,Bachelor's Degree,87,93,54
Female,Track B,Associate's Degree,88,58,74
Female,Track C,Bachelor's Degree,75,75,74
Female,Track C,High School,92,83,92
Female,Track B,High School,66,83,67
Male,Track A,Associate's Degree,62,59,54
Female,Track A,Bachelor's Degree,56,79,92
Female,Track A,Associate's Degree,51,53,79
Male,Track C,Associate's Degree,89,72,67
Male,Track B,Associate's Degree,63,64,61
Male,Track A,Associate's Degree,55,86,76
Female,Track B,Associate's Degree,60,57,53
Male,Track A,High School,62,50,93
Male,Track B,Bachelor's Degree,56,75,67
Male,Track C,High School,65,57,64
Female,Track C,High School,85,85,54
Female,Track A,Bachelor's Degree,79,93,80
Female,Track C,Associate's Degree,55,59,81
Male,Track A,Associate's Degree,68,80,65
Female,Track C,Associate's Degree,90,97,65
Male,Track C,High School,52,85,51
Female,Track C,High School,55,71,50
Male,Track A,High School,54,86,80
Female,Track A,Associate's Degree,54,73,95
Female,Track A,Bachelor's Degree,77,89,58
Female,Track B,Bachelor's Degree,66,98,77
Female,Track B,High School,75,65,90
Male,Track C,Associate's Degree,57,67,56
Male,Track B,Bachelor's Degree,79,83,70
Female,Track C,High School,55,52,70
Male,Track C,Associate's Degree,59,66,96
Female,Track A,Bachelor's Degree,90,99,60
Male,Track B,Associate's Degree,52,51,59
Female,Track C,Associate's Degree,81,65,84
Male,Track A,Bachelor's Degree,52,64,61
Female,Track B,High School,74,58,81
Male,Track A,High School,88,91,65
Female,Track B,Bachelor's Degree,60,77,78
Female,Track B,Associate's Degree,72,50,91
Female,Track C,Associate's Degree,97,67,68
Female,Track A,High School,78,98,96
Male,Track A,Associate's Degree,95,95,70
Female,Track C,Associate's Degree,89,75,92
Female,Track B,Associate's Degree,62,57,93
Male,Track A,High School,93,79,66
Female,Track B,Bachelor's Degree,97,69,62
Female,Track B,Bachelor's Degree,95,55,64
Male,Track A,Bachelor's Degree,92,86,91
Male,Track B,Associate's Degree,71,51,82
Male,Track A,Associate's Degree,51,57,78
Female,Track A,Bachelor's Degree,82,83,81
Male,Track C,Associate's Degree,76,64,95
Female,Track A,Bachelor's Degree,74,63,76
Female,Track A,Associate's Degree,82,89,73
Male,Track B,Associate's Degree,81,62,76
Male,Track B,Associate's Degree,77,63,60
Male,Track B,High School,83,91,57
Male,Track B,High School,99,95,54
Female,Track A,Associate's Degree,65,68,98
Female,Track A,High School,54,74,81
Male,Track C,Bachelor's Degree,61,87,90
Female,Track C,Bachelor's Degree,93,98,55
Male,Track B,Bachelor's Degree,52,65,67
Female,Track C,High School,67,87,64
Male,Track B,High School,75,84,71
Female,Track C,High School,88,87,66
Male,Track A,Bachelor's Degree,70,91,90
Male,Track B,High School,92,70,51
Male,Track B,High School,53,85,56
Female,Track C,High School,71,76,85
Male,Track C,High School,68,66,71
Female,Track A,High School,51,55,66
Male,Track A,Associate's Degree,54,54,96
Male,Track B,Bachelor's Degree,82,84,75
Female,Track B,Associate's Degree,68,89,87
Female,Track A,Bachelor's Degree,70,86,96
Male,Track C,Associate's Degree,84,82,79
Female,Track C,Associate's Degree,50,73,51
Male,Track B,Bachelor's Degree,85,70,90
Male,Track C,Bachelor's Degree,98,81,70
Female,Track B,Associate's Degree,98,73,66
Male,Track B,Bachelor's Degree,67,74,79
Female,Track C,High School,82,86,56
Female,Track C,High School,61,65,51
Female,Track C,Associate's Degree,57,74,98
Female,Track A,Associate's Degree,61,81,81
Female,Track B,Bachelor's Degree,78,76,50
Female,Track C,High School,88,95,97
Female,Track A,Associate's Degree,87,69,68
